parameter,output,spearman_rho,p_value
slope%,max_depth_J234-S,0.1867,0.0
dstore_imperv_in,max_depth_J234-S,-0.0307,0.493
IMD,max_depth_J234-S,-0.0233,0.6032
dstore_perv_in,max_depth_J234-S,0.022,0.6243
%Imperv,max_depth_J238-S,0.6564,0.0
SubcatchWidth,max_depth_J238-S,0.4067,0.0
n_perv,max_depth_J238-S,-0.2682,0.0
n_imperv,max_depth_J238-S,-0.2315,0.0
slope%,max_depth_J238-S,0.169,0.0001
dstore_imperv_in,max_depth_J238-S,-0.042,0.3486
IMD,max_depth_J238-S,-0.0309,0.4909
dstore_perv_in,max_depth_J238-S,-0.0085,0.8492
%Imperv,max_depth_J240-S,0.6435,0.0
SubcatchWidth,max_depth_J240-S,0.4244,0.0
n_perv,max_depth_J240-S,-0.2684,0.0
n_imperv,max_depth_J240-S,-0.254,0.0
slope%,max_depth_J240-S,0.1724,0.0001
dstore_imperv_in,max_depth_J240-S,-0.0357,0.4262
IMD,max_depth_J240-S,-0.0272,0.5441
dstore_perv_in,max_depth_J240-S,0.0214,0.6331
%Imperv,max_depth_J245-S,0.6434,0.0
SubcatchWidth,max_depth_J245-S,0.4247,0.0
n_perv,max_depth_J245-S,-0.2672,0.0
n_imperv,max_depth_J245-S,-0.2539,0.0
slope%,max_depth_J245-S,0.173,0.0001
dstore_imperv_in,max_depth_J245-S,-0.0358,0.4239
IMD,max_depth_J245-S,-0.0275,0.5401
dstore_perv_in,max_depth_J245-S,0.0219,0.6249
%Imperv,max_depth_J253-S,0.5607,0.0
SubcatchWidth,max_depth_J253-S,0.4691,0.0
n_perv,max_depth_J253-S,-0.3752,0.0
n_imperv,max_depth_J253-S,-0.2416,0.0
slope%,max_depth_J253-S,0.2004,0.0
dstore_imperv_in,max_depth_J253-S,-0.0301,0.5015
IMD,max_depth_J253-S,-0.0297,0.5072
dstore_perv_in,max_depth_J253-S,0.0178,0.6909
n_perv,max_depth_J260-S,-0.5827,0.0
SubcatchWidth,max_depth_J260-S,0.4586,0.0
%Imperv,max_depth_J260-S,0.4256,0.0
slope%,max_depth_J260-S,0.2108,0.0
dstore_perv_in,max_depth_J260-S,-0.1374,0.0021
n_imperv,max_depth_J260-S,-0.0922,0.0394
IMD,max_depth_J260-S,-0.0577,0.1978
dstore_imperv_in,max_depth_J260-S,-0.039,0.3838
SubcatchWidth,max_depth_J266-S,0.5023,0.0
n_perv,max_depth_J266-S,-0.4926,0.0
%Imperv,max_depth_J266-S,0.4584,0.0
slope%,max_depth_J266-S,0.2255,0.0
n_imperv,max_depth_J266-S,-0.1859,0.0
IMD,max_depth_J266-S,-0.0396,0.3773
dstore_imperv_in,max_depth_J266-S,-0.032,0.4756
dstore_perv_in,max_depth_J266-S,0.0033,0.9406
n_imperv,max_depth_J268-S,-0.6237,0.0
SubcatchWidth,max_depth_J268-S,0.5349,0.0
%Imperv,max_depth_J268-S,0.343,0.0
slope%,max_depth_J268-S,0.2009,0.0
n_perv,max_depth_J268-S,0.0676,0.1312
dstore_perv_in,max_depth_J268-S,0.0529,0.2376
IMD,max_depth_J268-S,-0.0328,0.4644
dstore_imperv_in,max_depth_J268-S,0.0325,0.4678
%Imperv,max_depth_J27-S,0.6952,0.0
SubcatchWidth,max_depth_J27-S,0.3844,0.0
n_imperv,max_depth_J27-S,-0.2979,0.0
slope%,max_depth_J27-S,0.1454,0.0011
IMD,max_depth_J27-S,-0.144,0.0012
n_perv,max_depth_J27-S,-0.1286,0.004
dstore_perv_in,max_depth_J27-S,-0.0995,0.0261
dstore_imperv_in,max_depth_J27-S,-0.0202,0.6528
SubcatchWidth,max_depth_J273-S,0.5108,0.0
